"Name","Asthma Hospitalizations"
"Description","<normal><g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of asthma hospitalizations among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_6 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""6"" data-gr-id=""6"">Rate</g> of asthma hospitalizations per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<br />
</normal>"
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from&nbsp;<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""5"" data-gr-id=""5"">New</g>&nbsp;York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Hospitalizations; 2000-2016].&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","<normal>Rates are calculated by using number of asthma hospitalizations among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma hospitalization among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).<br />
<br />
UHFs with the value of&nbsp;<strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
</normal>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Bayside - Little Neck,0 to 4 years,2000,Number,19,uhf404
Bayside - Little Neck,0 to 4 years,2000,Rate,43.8,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2000,Number,485,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2000,Rate,192.6,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2000,Number,17,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2000,Rate,15.5,uhf209
Borough Park,0 to 4 years,2000,Rate,24.1,uhf206
Borough Park,0 to 4 years,2000,Number,65,uhf206
Bronx,0 to 4 years,2000,Number,1822,36005
Bronx,0 to 4 years,2000,Rate,166.6,36005
Brooklyn,0 to 4 years,2000,Rate,97,36047
Brooklyn,0 to 4 years,2000,Number,1764,36047
Canarsie - Flatlands,0 to 4 years,2000,Rate,78.4,uhf208
Canarsie - Flatlands,0 to 4 years,2000,Number,101,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2000,Number,213,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2000,Rate,204,uhf302
Chelsea - Clinton,0 to 4 years,2000,Number,36,uhf306
Chelsea - Clinton,0 to 4 years,2000,Rate,101.3,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2000,Rate,38.4,uhf210
