"Name","Family Income"
"Description","Families by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19101 (2005-2018); retrieved from https://data.census.gov/.&nbsp;"
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,"$35,000 to $49,999",2016,Percent,0.024,101
Battery Park/Tribeca,"Under $15,000",2016,Percent,0.026,101
Battery Park/Tribeca,"$25,000 to $34,999",2016,Percent,0.029,101
Battery Park/Tribeca,"$15,000 to $24,999",2016,Percent,0.032,101
Battery Park/Tribeca,"$50,000 to $74,999",2016,Percent,0.059,101
Battery Park/Tribeca,"$75,000 to $99,999",2016,Percent,0.075,101
Battery Park/Tribeca,"$100,000 to $199,999",2016,Percent,0.196,101
Battery Park/Tribeca,"$200,000 or more",2016,Percent,0.559,101
Battery Park/Tribeca,"$35,000 to $49,999",2016,Number,267.345,101
Battery Park/Tribeca,"Under $15,000",2016,Number,299.652,101
Battery Park/Tribeca,"$25,000 to $34,999",2016,Number,325.902,101
Battery Park/Tribeca,"$15,000 to $24,999",2016,Number,364.671,101
Battery Park/Tribeca,"$50,000 to $74,999",2016,Number,669.573,101
Battery Park/Tribeca,"$75,000 to $99,999",2016,Number,848.476,101
Battery Park/Tribeca,"$100,000 to $199,999",2016,Number,2218.718,101
Battery Park/Tribeca,"$200,000 or more",2016,Number,6343.176,101
Greenwich Village,"$35,000 to $49,999",2016,Percent,0.024,102
Greenwich Village,"Under $15,000",2016,Percent,0.026,102
Greenwich Village,"$25,000 to $34,999",2016,Percent,0.029,102
Greenwich Village,"$15,000 to $24,999",2016,Percent,0.032,102
Greenwich Village,"$50,000 to $74,999",2016,Percent,0.059,102
Greenwich Village,"$75,000 to $99,999",2016,Percent,0.075,102
Greenwich Village,"$100,000 to $199,999",2016,Percent,0.196,102
Greenwich Village,"$200,000 or more",2016,Percent,0.559,102
Greenwich Village,"$35,000 to $49,999",2016,Number,394.655,102
Greenwich Village,"Under $15,000",2016,Number,442.348,102
Greenwich Village,"$25,000 to $34,999",2016,Number,481.098,102
Greenwich Village,"$15,000 to $24,999",2016,Number,538.329,102
Greenwich Village,"$50,000 to $74,999",2016,Number,988.427,102
Greenwich Village,"$75,000 to $99,999",2016,Number,1252.524,102
Greenwich Village,"$100,000 to $199,999",2016,Number,3275.282,102
Greenwich Village,"$200,000 or more",2016,Number,9363.824,102
Lower East Side,"$75,000 to $99,999",2016,Percent,0.065,103
Lower East Side,"$200,000 or more",2016,Percent,0.1,103
Lower East Side,"$15,000 to $24,999",2016,Percent,0.106,103
Lower East Side,"$25,000 to $34,999",2016,Percent,0.107,103
Lower East Side,"$50,000 to $74,999",2016,Percent,0.118,103
Lower East Side,"$100,000 to $199,999",2016,Percent,0.154,103
Lower East Side,"$35,000 to $49,999",2016,Percent,0.164,103
Lower East Side,"Under $15,000",2016,Percent,0.186,103
Lower East Side,"$75,000 to $99,999",2016,Number,2017,103
Lower East Side,"$200,000 or more",2016,Number,3107,103
Lower East Side,"$15,000 to $24,999",2016,Number,3294,103
Lower East Side,"$25,000 to $34,999",2016,Number,3329,103
Lower East Side,"$50,000 to $74,999",2016,Number,3685,103
Lower East Side,"$100,000 to $199,999",2016,Number,4802,103
Lower East Side,"$35,000 to $49,999",2016,Number,5090,103
Lower East Side,"Under $15,000",2016,Number,5801,103
Chelsea/Clinton,"$15,000 to $24,999",2016,Percent,0.017,104
Chelsea/Clinton,"$35,000 to $49,999",2016,Percent,0.035,104
Chelsea/Clinton,"$25,000 to $34,999",2016,Percent,0.051,104
Chelsea/Clinton,"$75,000 to $99,999",2016,Percent,0.06,104
Chelsea/Clinton,"Under $15,000",2016,Percent,0.064,104
Chelsea/Clinton,"$50,000 to $74,999",2016,Percent,0.08,104
Chelsea/Clinton,"$100,000 to $199,999",2016,Percent,0.251,104
Chelsea/Clinton,"$200,000 or more",2016,Percent,0.443,104
Chelsea/Clinton,"$15,000 to $24,999",2016,Number,242.588,104
Chelsea/Clinton,"$35,000 to $49,999",2016,Number,506.502,104
Chelsea/Clinton,"$25,000 to $34,999",2016,Number,734.427,104
Chelsea/Clinton,"$75,000 to $99,999",2016,Number,865.051,104
Chelsea/Clinton,"Under $15,000",2016,Number,926.365,104
Chelsea/Clinton,"$50,000 to $74,999",2016,Number,1155.623,104
Chelsea/Clinton,"$100,000 to $199,999",2016,Number,3647.477,104
Chelsea/Clinton,"$200,000 or more",2016,Number,6429.903,104
Midtown Business District,"$15,000 to $24,999",2016,Percent,0.017,105
Midtown Business District,"$35,000 to $49,999",2016,Percent,0.035,105
Midtown Business District,"$25,000 to $34,999",2016,Percent,0.051,105
Midtown Business District,"$75,000 to $99,999",2016,Percent,0.06,105
Midtown Business District,"Under $15,000",2016,Percent,0.064,105
Midtown Business District,"$50,000 to $74,999",2016,Percent,0.08,105
Midtown Business District,"$100,000 to $199,999",2016,Percent,0.251,105
Midtown Business District,"$200,000 or more",2016,Percent,0.443,105
Midtown Business District,"$15,000 to $24,999",2016,Number,121.412,105
Midtown Business District,"$35,000 to $49,999",2016,Number,253.498,105
Midtown Business District,"$25,000 to $34,999",2016,Number,367.573,105
Midtown Business District,"$75,000 to $99,999",2016,Number,432.949,105
Midtown Business District,"Under $15,000",2016,Number,463.635,105
Midtown Business District,"$50,000 to $74,999",2016,Number,578.377,105
Midtown Business District,"$100,000 to $199,999",2016,Number,1825.523,105
Midtown Business District,"$200,000 or more",2016,Number,3218.097,105
Murray Hill/Stuyvesant,"$25,000 to $34,999",2016,Percent,0.01,106
Murray Hill/Stuyvesant,"Under $15,000",2016,Percent,0.018,106
Murray Hill/Stuyvesant,"$15,000 to $24,999",2016,Percent,0.021,106
Murray Hill/Stuyvesant,"$35,000 to $49,999",2016,Percent,0.04,106
Murray Hill/Stuyvesant,"$75,000 to $99,999",2016,Percent,0.06,106
Murray Hill/Stuyvesant,"$50,000 to $74,999",2016,Percent,0.083,106
Murray Hill/Stuyvesant,"$100,000 to $199,999",2016,Percent,0.287,106
Murray Hill/Stuyvesant,"$200,000 or more",2016,Percent,0.481,106
Murray Hill/Stuyvesant,"$25,000 to $34,999",2016,Number,239,106
Murray Hill/Stuyvesant,"Under $15,000",2016,Number,421,106
Murray Hill/Stuyvesant,"$15,000 to $24,999",2016,Number,474,106
Murray Hill/Stuyvesant,"$35,000 to $49,999",2016,Number,908,106
Murray Hill/Stuyvesant,"$75,000 to $99,999",2016,Number,1369,106
Murray Hill/Stuyvesant,"$50,000 to $74,999",2016,Number,1892,106
Murray Hill/Stuyvesant,"$100,000 to $199,999",2016,Number,6535,106
Murray Hill/Stuyvesant,"$200,000 or more",2016,Number,10965,106
Upper West Side,"$25,000 to $34,999",2016,Percent,0.022,107
Upper West Side,"$15,000 to $24,999",2016,Percent,0.026,107
Upper West Side,"$35,000 to $49,999",2016,Percent,0.039,107
Upper West Side,"$75,000 to $99,999",2016,Percent,0.047,107
Upper West Side,"Under $15,000",2016,Percent,0.063,107
Upper West Side,"$50,000 to $74,999",2016,Percent,0.08,107
Upper West Side,"$100,000 to $199,999",2016,Percent,0.264,107
Upper West Side,"$200,000 or more",2016,Percent,0.461,107
Upper West Side,"$25,000 to $34,999",2016,Number,931,107
Upper West Side,"$15,000 to $24,999",2016,Number,1105,107
Upper West Side,"$35,000 to $49,999",2016,Number,1656,107
Upper West Side,"$75,000 to $99,999",2016,Number,1977,107
Upper West Side,"Under $15,000",2016,Number,2665,107
Upper West Side,"$50,000 to $74,999",2016,Number,3389,107
Upper West Side,"$100,000 to $199,999",2016,Number,11207,107
Upper West Side,"$200,000 or more",2016,Number,19580,107
Upper East Side,"Under $15,000",2016,Percent,0.017,108
Upper East Side,"$15,000 to $24,999",2016,Percent,0.022,108
Upper East Side,"$25,000 to $34,999",2016,Percent,0.024,108
Upper East Side,"$35,000 to $49,999",2016,Percent,0.027,108
Upper East Side,"$50,000 to $74,999",2016,Percent,0.059,108
Upper East Side,"$75,000 to $99,999",2016,Percent,0.091,108
Upper East Side,"$100,000 to $199,999",2016,Percent,0.229,108
Upper East Side,"$200,000 or more",2016,Percent,0.53,108
Upper East Side,"Under $15,000",2016,Number,783,108
Upper East Side,"$15,000 to $24,999",2016,Number,1060,108
Upper East Side,"$25,000 to $34,999",2016,Number,1111,108
Upper East Side,"$35,000 to $49,999",2016,Number,1280,108
Upper East Side,"$50,000 to $74,999",2016,Number,2795,108
Upper East Side,"$75,000 to $99,999",2016,Number,4298,108
Upper East Side,"$100,000 to $199,999",2016,Number,10813,108
