"Name","Household Income"
"Description","Households by income level."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Summary Table B19001 (2005-2018); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Income Level,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,"$100,000 to $199,999",2005,Number,8039.72359,101
Greenwich Village,"$100,000 to $199,999",2005,Number,11868.27641,102
Lower East Side,"$100,000 to $199,999",2005,Number,6951,103
Chelsea/Clinton,"$100,000 to $199,999",2005,Number,10347.29257,104
Midtown Business District,"$100,000 to $199,999",2005,Number,5178.70743,105
Murray Hill/Stuyvesant,"$100,000 to $199,999",2005,Number,23990,106
Upper West Side,"$100,000 to $199,999",2005,Number,21101,107
Upper East Side,"$100,000 to $199,999",2005,Number,22767,108
Manhattanville,"$100,000 to $199,999",2005,Number,4189,109
Central Harlem,"$100,000 to $199,999",2005,Number,2128,110
East Harlem,"$100,000 to $199,999",2005,Number,1785,111
Washington Heights,"$100,000 to $199,999",2005,Number,6082,112
Mott Haven,"$100,000 to $199,999",2005,Number,667.0854,201
Hunts Point,"$100,000 to $199,999",2005,Number,380.9146,202
Morrisania,"$100,000 to $199,999",2005,Number,581.71513,203
Concourse/Highbridge,"$100,000 to $199,999",2005,Number,1162,204
University Heights,"$100,000 to $199,999",2005,Number,1429,205
East Tremont,"$100,000 to $199,999",2005,Number,607.28487,206
Bedford Park,"$100,000 to $199,999",2005,Number,1585,207
Riverdale,"$100,000 to $199,999",2005,Number,5898,208
Unionport/Soundview,"$100,000 to $199,999",2005,Number,5458,209
Throgs Neck,"$100,000 to $199,999",2005,Number,5534,210
Pelham Parkway,"$100,000 to $199,999",2005,Number,4248,211
Williamsbridge,"$100,000 to $199,999",2005,Number,5250,212
Williamsburg/Greenpoint,"$100,000 to $199,999",2005,Number,3657,301
Fort Greene/Brooklyn Hts,"$100,000 to $199,999",2005,Number,9205,302
Bedford Stuyvesant,"$100,000 to $199,999",2005,Number,2974,303
Bushwick,"$100,000 to $199,999",2005,Number,1337,304
East New York,"$100,000 to $199,999",2005,Number,3332,305
Park Slope,"$100,000 to $199,999",2005,Number,12424,306
Sunset Park,"$100,000 to $199,999",2005,Number,5253,307
Crown Heights North,"$100,000 to $199,999",2005,Number,3392,308
Crown Heights South,"$100,000 to $199,999",2005,Number,3212,309
Bay Ridge,"$100,000 to $199,999",2005,Number,7881,310
Bensonhurst,"$100,000 to $199,999",2005,Number,6520,311
Borough Park,"$100,000 to $199,999",2005,Number,4356,312
Coney Island,"$100,000 to $199,999",2005,Number,3834,313
Flatbush/Midwood,"$100,000 to $199,999",2005,Number,4578,314
Sheepshead Bay,"$100,000 to $199,999",2005,Number,7299,315
Brownsville,"$100,000 to $199,999",2005,Number,1352,316
East Flatbush,"$100,000 to $199,999",2005,Number,4798,317
Canarsie,"$100,000 to $199,999",2005,Number,11074,318
Astoria,"$100,000 to $199,999",2005,Number,9180,401
Sunnyside/Woodside,"$100,000 to $199,999",2005,Number,6214,402
Jackson Heights,"$100,000 to $199,999",2005,Number,6643,403
Elmhurst/Corona,"$100,000 to $199,999",2005,Number,3157,404
Ridgewood/Glendale,"$100,000 to $199,999",2005,Number,8605,405
Rego Park/Forest Hills,"$100,000 to $199,999",2005,Number,10361,406
Flushing,"$100,000 to $199,999",2005,Number,15731,407
Fresh Meadows/Briarwood,"$100,000 to $199,999",2005,Number,7922,408
Woodhaven,"$100,000 to $199,999",2005,Number,7223,409
Howard Beach,"$100,000 to $199,999",2005,Number,6397,410
Bayside,"$100,000 to $199,999",2005,Number,9598,411
Jamaica/St. Albans,"$100,000 to $199,999",2005,Number,8040,412
Queens Village,"$100,000 to $199,999",2005,Number,16372,413
The Rockaways,"$100,000 to $199,999",2005,Number,5528,414
St. George,"$100,000 to $199,999",2005,Number,10338,501
South Beach,"$100,000 to $199,999",2005,Number,8511,502
Tottenville,"$100,000 to $199,999",2005,Number,15653,503
Bronx,"$100,000 to $199,999",2005,Number,32801,36005
Brooklyn,"$100,000 to $199,999",2005,Number,96478,36047
Manhattan,"$100,000 to $199,999",2005,Number,124427,36061
Queens,"$100,000 to $199,999",2005,Number,120971,36081
