"Name","Income Diversity Ratio"
"Description","The income diversity ratio is a&nbsp;single value meant to represent the variability in the distribution of income in a geography. In this instance CCC uses an 80:20 ratio, which compares income at the 80th percentile (the upper limit of the fourth quintile) with income at the 20th percentile (the upper limit of the bottom quintile).<br />
<br />
For example, a neighborhood where the 80th percentile earner makes $100,000 annually and the 20th percentile earner makes $20,000 would report an income diversity ratio of 5.0. The lower the ratio, the more equal the income distribution,&nbsp;and vice versa."
"Source Notes","CCC analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B19080 (2010-2018); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","A greater income diversity ratio does not necessarily equate to higher or lower incomes in a community overall. For further context, check out data on&nbsp;<a href=""https://data.cccnewyork.org/data/map/66/median-incomes#66/39/3/107/40/a/a"" target=""_blank"">Median Incomes</a>&nbsp;for a snapshot of average household incomes (or, income at the 50th percentile) across the city.<br />
<br />
Additionally, the ratio for the 80th-to-20th percentiles of income distribution is just one of a variety of ways to measure income inequality. Research underscores the importance of considering more than one metric of inequality (e.g. the Gini Coefficient, Theil index, Palma Ratio, and other distribution ratios). However, some findings suggest that income inequality in New York City does not vary as much as other metropolitan areas when comparing across different metrics of inequality. For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">Glassman, B. (2016). ""Income Inequality Metrics and Economic Well-Being in U.S. Metropolitan Statistical Areas.""&nbsp;SEHSD Working Paper Number 2016-19,&nbsp;retrieved from:&nbsp;<a href=""https://www.census.gov/content/dam/Census/library/working-papers/2016/demo/SEHSD-WP2016-19.pdf"" target=""_blank"">https://www.census.gov/content/dam/Census/library/working-papers/2016/demo/SEHSD-WP2016-19.pdf</a>.</blockquote>"

Location,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,2010,Rate,6.23288,101
Greenwich Village,2010,Rate,6.23288,102
Lower East Side,2010,Rate,7.46179,103
Chelsea/Clinton,2010,Rate,8.43494,104
Midtown Business District,2010,Rate,8.43494,105
Murray Hill/Stuyvesant,2010,Rate,5.13419,106
Upper West Side,2010,Rate,8.05463,107
Upper East Side,2010,Rate,5.66556,108
Manhattanville,2010,Rate,9.07912,109
Central Harlem,2010,Rate,7.56949,110
East Harlem,2010,Rate,6.41141,111
Washington Heights,2010,Rate,5.30469,112
Mott Haven,2010,Rate,5.32342,201
Hunts Point,2010,Rate,5.32342,202
Morrisania,2010,Rate,5.83981,203
Concourse/Highbridge,2010,Rate,5.39039,204
University Heights,2010,Rate,5.32978,205
East Tremont,2010,Rate,5.83981,206
Bedford Park,2010,Rate,6.00919,207
Riverdale,2010,Rate,5.0207,208
Unionport/Soundview,2010,Rate,5.24327,209
Throgs Neck,2010,Rate,5.44391,210
Pelham Parkway,2010,Rate,5.94711,211
Williamsbridge,2010,Rate,4.75209,212
Williamsburg/Greenpoint,2010,Rate,7.02474,301
Fort Greene/Brooklyn Hts,2010,Rate,6.86487,302
Bedford Stuyvesant,2010,Rate,7.57547,303
Bushwick,2010,Rate,4.6719,304
East New York,2010,Rate,7.32382,305
Park Slope,2010,Rate,5.35222,306
Sunset Park,2010,Rate,4.99704,307
Crown Heights North,2010,Rate,6.59557,308
Crown Heights South,2010,Rate,5.72792,309
Bay Ridge,2010,Rate,4.94339,310
Bensonhurst,2010,Rate,4.93394,311
Borough Park,2010,Rate,5.12127,312
Coney Island,2010,Rate,6.83738,313
Flatbush/Midwood,2010,Rate,5.73812,314
Sheepshead Bay,2010,Rate,5.95362,315
