"Name","Poverty by Age"
"Description","Individuals with incomes below the Federal Poverty Level (FPL)."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table S1701 (2005-2018); retrieved&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100.&nbsp;The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;Percents refer to the percent of the population of the selected age group for whom poverty status was determined.&nbsp;"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Murray Hill/Stuyvesant,Children Under 18 Years,2011,Number,0,106
Murray Hill/Stuyvesant,Children Under 18 Years,2011,Percent,0,106
Upper East Side,Children Under 18 Years,2011,Percent,0.01434,108
Tottenville,Children Under 18 Years,2008,Percent,0.02107,503
Tottenville,Adults 18 Years and Older,2008,Percent,0.02274,503
Upper East Side,Children Under 18 Years,2010,Percent,0.02411,108
Upper East Side,Children Under 18 Years,2006,Percent,0.02546,108
Murray Hill/Stuyvesant,Children Under 18 Years,2006,Percent,0.02713,106
Tottenville,Children Under 18 Years,2006,Percent,0.03281,503
Rego Park/Forest Hills,Children Under 18 Years,2011,Percent,0.03567,406
Upper East Side,Children Under 18 Years,2008,Percent,0.03606,108
Murray Hill/Stuyvesant,Children Under 18 Years,2008,Percent,0.03674,106
Upper East Side,Children Under 18 Years,2009,Percent,0.03694,108
Rego Park/Forest Hills,Children Under 18 Years,2007,Percent,0.03967,406
Upper East Side,Children Under 18 Years,2007,Percent,0.04056,108
Murray Hill/Stuyvesant,Children Under 18 Years,2009,Percent,0.04174,106
Tottenville,Adults 18 Years and Older,2009,Percent,0.04241,503
Tottenville,Adults 18 Years and Older,2006,Percent,0.04367,503
Tottenville,Adults 18 Years and Older,2005,Percent,0.04429,503
Queens Village,Adults 18 Years and Older,2005,Percent,0.04433,413
Tottenville,Adults 18 Years and Older,2007,Percent,0.04464,503
Bayside,Adults 18 Years and Older,2007,Percent,0.04523,411
Queens Village,Adults 18 Years and Older,2007,Percent,0.04633,413
Tottenville,Children Under 18 Years,2009,Percent,0.04709,503
Upper East Side,Adults 18 Years and Older,2007,Percent,0.04785,108
Tottenville,Children Under 18 Years,2007,Percent,0.05025,503
Bayside,Adults 18 Years and Older,2006,Percent,0.05114,411
Battery Park/Tribeca,Children Under 18 Years,2011,Percent,0.0515,101
Greenwich Village,Children Under 18 Years,2011,Percent,0.0515,102
Murray Hill/Stuyvesant,Children Under 18 Years,2005,Percent,0.0517,106
Bayside,Adults 18 Years and Older,2005,Percent,0.05175,411
Tottenville,Adults 18 Years and Older,2011,Percent,0.05227,503
Upper East Side,Adults 18 Years and Older,2006,Percent,0.05248,108
Queens Village,Adults 18 Years and Older,2006,Percent,0.05375,413
Rego Park/Forest Hills,Children Under 18 Years,2008,Percent,0.05427,406
Upper East Side,Children Under 18 Years,2005,Percent,0.05628,108
Tottenville,Children Under 18 Years,2005,Percent,0.05648,503
Queens Village,Children Under 18 Years,2007,Percent,0.05658,413
Queens Village,Adults 18 Years and Older,2009,Percent,0.05721,413
Tottenville,Children Under 18 Years,2011,Percent,0.0574,503
Upper East Side,Adults 18 Years and Older,2008,Percent,0.05784,108
Murray Hill/Stuyvesant,Adults 18 Years and Older,2005,Percent,0.05829,106
Upper West Side,Children Under 18 Years,2006,Percent,0.05958,107
Tottenville,Adults 18 Years and Older,2010,Percent,0.06028,503
Bayside,Adults 18 Years and Older,2008,Percent,0.06043,411
Upper East Side,Adults 18 Years and Older,2005,Percent,0.06118,108
Upper East Side,Adults 18 Years and Older,2009,Percent,0.06315,108
Upper West Side,Children Under 18 Years,2010,Percent,0.06474,107
Rego Park/Forest Hills,Adults 18 Years and Older,2007,Percent,0.06519,406
Queens Village,Adults 18 Years and Older,2008,Percent,0.0652,413
Murray Hill/Stuyvesant,Adults 18 Years and Older,2008,Percent,0.06527,106
Queens Village,Adults 18 Years and Older,2010,Percent,0.06679,413
Battery Park/Tribeca,Children Under 18 Years,2008,Percent,0.0675,101
Greenwich Village,Children Under 18 Years,2008,Percent,0.0675,102
Murray Hill/Stuyvesant,Adults 18 Years and Older,2010,Percent,0.07018,106
Bayside,Adults 18 Years and Older,2010,Percent,0.07039,411
South Beach,Adults 18 Years and Older,2008,Percent,0.07048,502
Rego Park/Forest Hills,Adults 18 Years and Older,2008,Percent,0.07052,406
Murray Hill/Stuyvesant,Children Under 18 Years,2010,Percent,0.07093,106
Battery Park/Tribeca,Children Under 18 Years,2009,Percent,0.07102,101
Greenwich Village,Children Under 18 Years,2009,Percent,0.07102,102
Murray Hill/Stuyvesant,Adults 18 Years and Older,2009,Percent,0.07119,106
Throgs Neck,Adults 18 Years and Older,2008,Percent,0.0729,210
Queens Village,Children Under 18 Years,2005,Percent,0.07351,413
South Beach,Adults 18 Years and Older,2011,Percent,0.07404,502
Battery Park/Tribeca,Children Under 18 Years,2007,Percent,0.07414,101
Greenwich Village,Children Under 18 Years,2007,Percent,0.07414,102
Upper East Side,Adults 18 Years and Older,2010,Percent,0.07463,108
Bayside,Adults 18 Years and Older,2009,Percent,0.07473,411
South Beach,Adults 18 Years and Older,2007,Percent,0.07485,502
Queens Village,Adults 18 Years and Older,2011,Percent,0.07494,413
Upper East Side,Adults 18 Years and Older,2011,Percent,0.07525,108
Queens Village,Children Under 18 Years,2006,Percent,0.07529,413
Battery Park/Tribeca,Children Under 18 Years,2010,Percent,0.07531,101
Greenwich Village,Children Under 18 Years,2010,Percent,0.07531,102
Fresh Meadows/Briarwood,Adults 18 Years and Older,2008,Percent,0.07579,408
Battery Park/Tribeca,Children Under 18 Years,2005,Percent,0.07596,101
Greenwich Village,Children Under 18 Years,2005,Percent,0.07596,102
Queens Village,Children Under 18 Years,2009,Percent,0.0763,413
Murray Hill/Stuyvesant,Adults 18 Years and Older,2006,Percent,0.07631,106
Howard Beach,Adults 18 Years and Older,2009,Percent,0.07662,410
Canarsie,Adults 18 Years and Older,2005,Percent,0.07746,318
Rego Park/Forest Hills,Adults 18 Years and Older,2011,Percent,0.07754,406
Greenwich Village,Adults 18 Years and Older,2011,Percent,0.07794,102
Battery Park/Tribeca,Adults 18 Years and Older,2011,Percent,0.07794,101
Fresh Meadows/Briarwood,Adults 18 Years and Older,2006,Percent,0.078,408
Fresh Meadows/Briarwood,Adults 18 Years and Older,2005,Percent,0.07802,408
Rego Park/Forest Hills,Children Under 18 Years,2009,Percent,0.07847,406
Bayside,Children Under 18 Years,2009,Percent,0.07868,411
Throgs Neck,Adults 18 Years and Older,2007,Percent,0.07972,210
Battery Park/Tribeca,Adults 18 Years and Older,2009,Percent,0.07999,101
Greenwich Village,Adults 18 Years and Older,2009,Percent,0.07999,102
Canarsie,Adults 18 Years and Older,2009,Percent,0.0804,318
South Beach,Children Under 18 Years,2007,Percent,0.08137,502
Bayside,Children Under 18 Years,2010,Percent,0.08174,411
South Beach,Adults 18 Years and Older,2006,Percent,0.08182,502
Howard Beach,Adults 18 Years and Older,2006,Percent,0.08258,410
Howard Beach,Adults 18 Years and Older,2005,Percent,0.08282,410
Bayside,Children Under 18 Years,2008,Percent,0.083,411
Staten Island,Adults 18 Years and Older,2006,Percent,0.08351,36085
Park Slope,Adults 18 Years and Older,2009,Percent,0.08392,306
Staten Island,Adults 18 Years and Older,2008,Percent,0.08495,36085
Park Slope,Children Under 18 Years,2009,Percent,0.08564,306
Upper West Side,Adults 18 Years and Older,2009,Percent,0.0865,107
Bayside,Children Under 18 Years,2006,Percent,0.08676,411
Rego Park/Forest Hills,Adults 18 Years and Older,2006,Percent,0.08696,406
Rego Park/Forest Hills,Adults 18 Years and Older,2005,Percent,0.08726,406
Howard Beach,Children Under 18 Years,2005,Percent,0.08733,410
Murray Hill/Stuyvesant,Adults 18 Years and Older,2007,Percent,0.08744,106
Queens Village,Children Under 18 Years,2008,Percent,0.08764,413
Battery Park/Tribeca,Adults 18 Years and Older,2007,Percent,0.08786,101
Greenwich Village,Adults 18 Years and Older,2007,Percent,0.08786,102
Queens Village,Children Under 18 Years,2010,Percent,0.08806,413
Throgs Neck,Children Under 18 Years,2007,Percent,0.08854,210
Staten Island,Adults 18 Years and Older,2005,Percent,0.08873,36085
Fresh Meadows/Briarwood,Children Under 18 Years,2006,Percent,0.0891,408
Staten Island,Adults 18 Years and Older,2007,Percent,0.08939,36085
Fresh Meadows/Briarwood,Children Under 18 Years,2005,Percent,0.08946,408
South Beach,Adults 18 Years and Older,2010,Percent,0.08947,502
South Beach,Children Under 18 Years,2011,Percent,0.0896,502
Howard Beach,Adults 18 Years and Older,2007,Percent,0.09001,410
Canarsie,Adults 18 Years and Older,2007,Percent,0.09003,318
Upper West Side,Adults 18 Years and Older,2005,Percent,0.09015,107
Bayside,Children Under 18 Years,2007,Percent,0.09033,411
Bayside,Children Under 18 Years,2005,Percent,0.09063,411
Jamaica/St. Albans,Adults 18 Years and Older,2006,Percent,0.09084,412
Rego Park/Forest Hills,Adults 18 Years and Older,2010,Percent,0.09094,406
Flushing,Children Under 18 Years,2009,Percent,0.09182,407
Battery Park/Tribeca,Adults 18 Years and Older,2008,Percent,0.09241,101
Greenwich Village,Adults 18 Years and Older,2008,Percent,0.09241,102
Rego Park/Forest Hills,Children Under 18 Years,2005,Percent,0.09408,406
Greenwich Village,Adults 18 Years and Older,2005,Percent,0.09411,102
Battery Park/Tribeca,Adults 18 Years and Older,2005,Percent,0.09411,101
Flushing,Adults 18 Years and Older,2005,Percent,0.09412,407
Canarsie,Children Under 18 Years,2007,Percent,0.09448,318
Throgs Neck,Adults 18 Years and Older,2006,Percent,0.09467,210
Howard Beach,Children Under 18 Years,2009,Percent,0.09482,410
Upper West Side,Children Under 18 Years,2009,Percent,0.09487,107
