"Name","Poverty by Poverty Level"
"Description","Poverty level is the ratio of household income to the Federal Poverty Level (FPL).&nbsp;The FPL varies based on the number of children and adults in a household and the age of the head of household. In 2018, <a href=""https://familiesusa.org/resources/federal-poverty-guidelines/"" target=""_blank"">the annual income thresholds for a family of four</a> would correspond to the following breakdown of poverty levels:<br />
Below 100% FPL = Below $25,100&nbsp;<br />
100 to 199% FPL = $25,100 to $50,199<br />
Below 200% FPL = Below $50,200<br />
200 to 399% FPL = $50,200 to $100,399<br />
400% FPL and above = $100,400 and above"
"Source Notes","CCC Analysis of U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample Files (2005-2018). Retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates. Percents refer to the percent of the total population for whom poverty status was determined."

Location,Poverty Level,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,Below 100% FPL,2005,Number,5408.68084,101
Battery Park/Tribeca,100 to 199% FPL,2005,Number,2832.157,101
Battery Park/Tribeca,Below 200% FPL,2005,Number,8240.83783,101
Battery Park/Tribeca,200 to 399% FPL,2005,Number,7391.95804,101
Battery Park/Tribeca,400% FPL and above,2005,Number,37323.65351,101
Battery Park/Tribeca,Below 100% FPL,2006,Number,7832.95553,101
Battery Park/Tribeca,100 to 199% FPL,2006,Number,3963.7275,101
Battery Park/Tribeca,Below 200% FPL,2006,Number,11796.68303,101
Battery Park/Tribeca,200 to 399% FPL,2006,Number,6150.94585,101
Battery Park/Tribeca,400% FPL and above,2006,Number,37631.38253,101
Battery Park/Tribeca,Below 100% FPL,2007,Number,4017.84258,101
Battery Park/Tribeca,100 to 199% FPL,2007,Number,3962.91981,101
Battery Park/Tribeca,Below 200% FPL,2007,Number,7980.76239,101
Battery Park/Tribeca,200 to 399% FPL,2007,Number,7378.22735,101
Battery Park/Tribeca,400% FPL and above,2007,Number,37525.57544,101
Battery Park/Tribeca,Below 100% FPL,2008,Number,5020.58688,101
Battery Park/Tribeca,100 to 199% FPL,2008,Number,4520.22434,101
Battery Park/Tribeca,Below 200% FPL,2008,Number,9540.81122,101
Battery Park/Tribeca,200 to 399% FPL,2008,Number,7679.89871,101
Battery Park/Tribeca,400% FPL and above,2008,Number,39896.54275,101
Battery Park/Tribeca,Below 100% FPL,2009,Number,4401.0904,101
Battery Park/Tribeca,100 to 199% FPL,2009,Number,4338.09076,101
Battery Park/Tribeca,Below 200% FPL,2009,Number,8739.18116,101
Battery Park/Tribeca,200 to 399% FPL,2009,Number,6203.44555,101
Battery Park/Tribeca,400% FPL and above,2009,Number,38615.14618,101
Battery Park/Tribeca,Below 100% FPL,2010,Number,5035.52911,101
Battery Park/Tribeca,100 to 199% FPL,2010,Number,4715.28093,101
