"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Tottenville,Latino,2012,Percent,0.0097,503
Battery Park/Tribeca,Black,2012,Percent,0.01446,101
Greenwich Village,Black,2012,Percent,0.01446,102
Upper East Side,Asian,2011,Percent,0.0145,108
University Heights,Asian,2011,Percent,0.01764,205
Washington Heights,Asian,2008,Percent,0.02025,112
Bayside,Black,2012,Percent,0.02114,411
Bayside,Latino,2008,Percent,0.02212,411
Throgs Neck,Asian,2011,Percent,0.0222,210
East Flatbush,Asian,2008,Percent,0.02324,317
Tottenville,White,2008,Percent,0.02381,503
Tottenville,All Races and Ethnicities,2008,Percent,0.02387,503
Woodhaven,Black,2008,Percent,0.02645,409
South Beach,Asian,2012,Percent,0.02754,502
South Beach,Black,2011,Percent,0.02761,502
Upper East Side,Black,2011,Percent,0.02763,108
Tottenville,Asian,2011,Percent,0.02859,503
Tottenville,Latino,2011,Percent,0.02994,503
Bayside,White,2008,Percent,0.03104,411
Throgs Neck,Black,2008,Percent,0.03244,210
Upper East Side,White,2008,Percent,0.03644,108
Tottenville,Latino,2008,Percent,0.03771,503
