"Name","Asthma Emergency Department Visits"
"Description","<g class=""gr_ gr_12 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""12"" data-gr-id=""12"">Number</g> of asthma emergency department (ED) visits among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_13 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""13"" data-gr-id=""13"">Rate</g> of asthma emergency department (ED) visits per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17)."
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from <g class=""gr_ gr_10 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""10"" data-gr-id=""10"">New</g> York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Emergency Department Visits; 2005-2016].&nbsp;<a href=""http://http//a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","Rates are calculated by using number of asthma-related emergency department (ED) visits among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma-related emergency department (ED) visits among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).
<div><br />
UHFs with the value of <strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
<br />
</div>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Bayside - Little Neck,0 to 4 years,2005,Rate,101.2,uhf404
Bayside - Little Neck,0 to 4 years,2005,Number,43,uhf404
Bayside - Little Neck,5 to 17 Years,2005,Number,38,uhf404
Bayside - Little Neck,5 to 17 Years,2005,Rate,31.1,uhf404
Bayside - Little Neck,0 to 17 Years,2005,Number,81,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2005,Rate,686.7,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2005,Number,1520,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2005,Number,1785,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2005,Rate,286.2,uhf203
Bedford Stuyvesant - Crown Heights,0 to 17 Years,2005,Number,3305,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2005,Rate,56.7,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2005,Number,67,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2005,Number,66,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2005,Rate,24.5,uhf209
Bensonhurst - Bay Ridge,0 to 17 Years,2005,Number,133,uhf209
Borough Park,0 to 4 years,2005,Number,125,uhf206
Borough Park,0 to 4 years,2005,Rate,41.9,uhf206
