Location,Age Group,TimeFrame,DataFormat,Data,Fips,zipcode
Bayside - Little Neck,5 to 17 Years,2005,Rate,31.1,uhf404,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Bayside - Little Neck,0 to 17 Years,2005,Number,81.0,uhf404,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Bedford Stuyvesant - Crown Heights,0 to 4 years,2005,Rate,686.7,uhf203,"11212, 11213, 11216, 11233, 11238"
Bedford Stuyvesant - Crown Heights,0 to 4 years,2005,Number,1520.0,uhf203,"11212, 11213, 11216, 11233, 11238"
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2005,Number,1785.0,uhf203,"11212, 11213, 11216, 11233, 11238"
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2005,Rate,286.2,uhf203,"11212, 11213, 11216, 11233, 11238"
Bedford Stuyvesant - Crown Heights,0 to 17 Years,2005,Number,3305.0,uhf203,"11212, 11213, 11216, 11233, 11238"
Bensonhurst - Bay Ridge,0 to 4 years,2005,Rate,56.7,uhf209,"11209, 11214, 11228"
Bensonhurst - Bay Ridge,0 to 4 years,2005,Number,67.0,uhf209,"11209, 11214, 11228"
Bensonhurst - Bay Ridge,5 to 17 Years,2005,Number,66.0,uhf209,"11209, 11214, 11228"
Bensonhurst - Bay Ridge,5 to 17 Years,2005,Rate,24.5,uhf209,"11209, 11214, 11228"
Bensonhurst - Bay Ridge,0 to 17 Years,2005,Number,133.0,uhf209,"11209, 11214, 11228"
Borough Park,0 to 4 years,2005,Number,125.0,uhf206,"11204, 11218, 11219, 11230"
Borough Park,0 to 4 years,2005,Rate,41.9,uhf206,"11204, 11218, 11219, 11230"
Borough Park,5 to 17 Years,2005,Number,125.0,uhf206,"11204, 11218, 11219, 11230"
Borough Park,5 to 17 Years,2005,Rate,19.8,uhf206,"11204, 11218, 11219, 11230"
Borough Park,0 to 17 Years,2005,Number,250.0,uhf206,"11204, 11218, 11219, 11230"
Bronx,0 to 4 years,2005,Number,7164.0,36005,N/A
Bronx,0 to 4 years,2005,Rate,684.9,36005,N/A
Bronx,5 to 17 Years,2005,Number,7289.0,36005,N/A
Bronx,5 to 17 Years,2005,Rate,265.2,36005,N/A
Bronx,0 to 17 Years,2005,Number,14453.0,36005,N/A
Brooklyn,0 to 4 years,2005,Rate,310.1,36047,N/A
Brooklyn,0 to 4 years,2005,Number,5474.0,36047,N/A
Brooklyn,5 to 17 Years,2005,Number,5708.0,36047,N/A
Brooklyn,5 to 17 Years,2005,Rate,130.1,36047,N/A
Brooklyn,0 to 17 Years,2005,Number,11182.0,36047,N/A
Canarsie - Flatlands,0 to 4 years,2005,Number,350.0,uhf208,"11234, 11236, 11239"
Canarsie - Flatlands,0 to 4 years,2005,Rate,299.1,uhf208,"11234, 11236, 11239"
Canarsie - Flatlands,5 to 17 Years,2005,Number,416.0,uhf208,"11234, 11236, 11239"
Canarsie - Flatlands,5 to 17 Years,2005,Rate,116.1,uhf208,"11234, 11236, 11239"
Canarsie - Flatlands,0 to 17 Years,2005,Number,766.0,uhf208,"11234, 11236, 11239"
Central Harlem - Morningside Heights,0 to 4 years,2005,Rate,908.3,uhf302,"10026, 10027, 10030, 10037, 10039"
Central Harlem - Morningside Heights,0 to 4 years,2005,Number,921.0,uhf302,"10026, 10027, 10030, 10037, 10039"
Central Harlem - Morningside Heights,5 to 17 Years,2005,Number,1840.0,uhf302,"10026, 10027, 10030, 10037, 10039"
Central Harlem - Morningside Heights,5 to 17 Years,2005,Rate,687.1,uhf302,"10026, 10027, 10030, 10037, 10039"
Central Harlem - Morningside Heights,0 to 17 Years,2005,Number,2761.0,uhf302,"10026, 10027, 10030, 10037, 10039"
Chelsea - Clinton,0 to 4 years,2005,Rate,194.9,uhf306,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Chelsea - Clinton,0 to 4 years,2005,Number,89.0,uhf306,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Chelsea - Clinton,5 to 17 Years,2005,Number,159.0,uhf306,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Chelsea - Clinton,5 to 17 Years,2005,Rate,231.9,uhf306,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Chelsea - Clinton,0 to 17 Years,2005,Number,248.0,uhf306,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Coney Island - Sheepshead Bay,0 to 4 years,2005,Number,164.0,uhf210,"11223, 11224, 11229, 11235"
Coney Island - Sheepshead Bay,0 to 4 years,2005,Rate,98.8,uhf210,"11223, 11224, 11229, 11235"
Coney Island - Sheepshead Bay,5 to 17 Years,2005,Number,283.0,uhf210,"11223, 11224, 11229, 11235"
Coney Island - Sheepshead Bay,5 to 17 Years,2005,Rate,65.6,uhf210,"11223, 11224, 11229, 11235"
Coney Island - Sheepshead Bay,0 to 17 Years,2005,Number,447.0,uhf210,"11223, 11224, 11229, 11235"
Crotona - Tremont,0 to 4 years,2005,Number,1594.0,uhf105,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Crotona - Tremont,0 to 4 years,2005,Rate,877.4,uhf105,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Crotona - Tremont,5 to 17 Years,2005,Number,1630.0,uhf105,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Crotona - Tremont,5 to 17 Years,2005,Rate,340.4,uhf105,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Crotona - Tremont,0 to 17 Years,2005,Number,3224.0,uhf105,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Downtown  - Heights - Slope,0 to 4 years,2005,Number,308.0,uhf202,"11201, 11205, 11215, 11217, 11231"
Downtown  - Heights - Slope,0 to 4 years,2005,Rate,216.4,uhf202,"11201, 11205, 11215, 11217, 11231"
Downtown  - Heights - Slope,5 to 17 Years,2005,Number,431.0,uhf202,"11201, 11205, 11215, 11217, 11231"
Downtown  - Heights - Slope,5 to 17 Years,2005,Rate,162.3,uhf202,"11201, 11205, 11215, 11217, 11231"
Downtown  - Heights - Slope,0 to 17 Years,2005,Number,739.0,uhf202,"11201, 11205, 11215, 11217, 11231"
East Flatbush - Flatbush,0 to 4 years,2005,Rate,312.5,uhf207,"11203, 11210, 11225, 11226"
East Flatbush - Flatbush,0 to 4 years,2005,Number,635.0,uhf207,"11203, 11210, 11225, 11226"
East Flatbush - Flatbush,5 to 17 Years,2005,Number,947.0,uhf207,"11203, 11210, 11225, 11226"
East Flatbush - Flatbush,5 to 17 Years,2005,Rate,166.1,uhf207,"11203, 11210, 11225, 11226"
East Flatbush - Flatbush,0 to 17 Years,2005,Number,1582.0,uhf207,"11203, 11210, 11225, 11226"
East Harlem,0 to 4 years,2005,Number,581.0,uhf303,"10029, 10035"
East Harlem,0 to 4 years,2005,Rate,785.4,uhf303,"10029, 10035"
East Harlem,5 to 17 Years,2005,Number,998.0,uhf303,"10029, 10035"
East Harlem,5 to 17 Years,2005,Rate,485.7,uhf303,"10029, 10035"
East Harlem,0 to 17 Years,2005,Number,1579.0,uhf303,"10029, 10035"
East New York,0 to 4 years,2005,Number,872.0,uhf204,"11207, 11208"
East New York,0 to 4 years,2005,Rate,619.3,uhf204,"11207, 11208"
East New York,5 to 17 Years,2005,Number,1106.0,uhf204,"11207, 11208"
East New York,5 to 17 Years,2005,Rate,269.3,uhf204,"11207, 11208"
East New York,0 to 17 Years,2005,Number,1978.0,uhf204,"11207, 11208"
Flushing - Clearview,0 to 4 years,2005,Number,236.0,uhf403,"11354, 11355, 11356, 11357, 11358, 11359, 11360"
Flushing - Clearview,0 to 4 years,2005,Rate,170.2,uhf403,"11354, 11355, 11356, 11357, 11358, 11359, 11360"
Flushing - Clearview,5 to 17 Years,2005,Number,270.0,uhf403,"11354, 11355, 11356, 11357, 11358, 11359, 11360"
Flushing - Clearview,5 to 17 Years,2005,Rate,83.7,uhf403,"11354, 11355, 11356, 11357, 11358, 11359, 11360"
Flushing - Clearview,0 to 17 Years,2005,Number,506.0,uhf403,"11354, 11355, 11356, 11357, 11358, 11359, 11360"
Fordham - Bronx Park,0 to 4 years,2005,Number,1059.0,uhf103,"10458, 10467, 10468"
Fordham - Bronx Park,0 to 4 years,2005,Rate,508.7,uhf103,"10458, 10467, 10468"
Fordham - Bronx Park,5 to 17 Years,2005,Number,1165.0,uhf103,"10458, 10467, 10468"
Fordham - Bronx Park,5 to 17 Years,2005,Rate,228.4,uhf103,"10458, 10467, 10468"
Fordham - Bronx Park,0 to 17 Years,2005,Number,2224.0,uhf103,"10458, 10467, 10468"
Fresh Meadows,0 to 4 years,2005,Rate,154.6,uhf406,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Fresh Meadows,0 to 4 years,2005,Number,97.0,uhf406,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Fresh Meadows,5 to 17 Years,2005,Number,102.0,uhf406,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Fresh Meadows,5 to 17 Years,2005,Rate,72.9,uhf406,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Fresh Meadows,0 to 17 Years,2005,Number,199.0,uhf406,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Gramercy Park -  Murray Hill,0 to 4 years,2005,Number,43.0,uhf307,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Gramercy Park -  Murray Hill,0 to 4 years,2005,Rate,94.7,uhf307,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Gramercy Park -  Murray Hill,5 to 17 Years,2005,Number,49.0,uhf307,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Gramercy Park -  Murray Hill,5 to 17 Years,2005,Rate,93.6,uhf307,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Gramercy Park -  Murray Hill,0 to 17 Years,2005,Number,92.0,uhf307,"10010, 10016, 10017, 10021, 10022, 10028, 10044, 10065, 10075, 10128, 10162, 10165, 10170, 10171"
Greenpoint,0 to 4 years,2005,Rate,160.0,uhf201,"11211, 11222"
Greenpoint,0 to 4 years,2005,Number,162.0,uhf201,"11211, 11222"
Greenpoint,5 to 17 Years,2005,Number,223.0,uhf201,"11211, 11222"
Greenpoint,5 to 17 Years,2005,Rate,110.5,uhf201,"11211, 11222"
Greenpoint,0 to 17 Years,2005,Number,385.0,uhf201,"11211, 11222"
Greenwich Village - Soho,0 to 4 years,2005,Rate,58.5,uhf308,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Greenwich Village - Soho,0 to 4 years,2005,Number,20.0,uhf308,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Greenwich Village - Soho,5 to 17 Years,2005,Number,20.0,uhf308,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Greenwich Village - Soho,5 to 17 Years,2005,Rate,38.0,uhf308,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
Greenwich Village - Soho,0 to 17 Years,2005,Number,40.0,uhf308,"10001, 10011, 10012, 10013, 10014, 10018, 10019, 10020, 10036"
High Bridge - Morrisania,0 to 4 years,2005,Rate,1018.6,uhf106,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
High Bridge - Morrisania,0 to 4 years,2005,Number,1750.0,uhf106,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
High Bridge - Morrisania,5 to 17 Years,2005,Number,1575.0,uhf106,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
High Bridge - Morrisania,5 to 17 Years,2005,Rate,342.3,uhf106,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
High Bridge - Morrisania,0 to 17 Years,2005,Number,3325.0,uhf106,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Hunts Point - Mott Haven,0 to 4 years,2005,Number,1059.0,uhf107,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Hunts Point - Mott Haven,0 to 4 years,2005,Rate,954.1,uhf107,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Hunts Point - Mott Haven,5 to 17 Years,2005,Number,1115.0,uhf107,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Hunts Point - Mott Haven,5 to 17 Years,2005,Rate,362.2,uhf107,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Hunts Point - Mott Haven,0 to 17 Years,2005,Number,2174.0,uhf107,"10451, 10452, 10453, 10454, 10455, 10456, 10457, 10459, 10460, 10461"
Jamaica,0 to 4 years,2005,Rate,430.5,uhf408,"11412, 11423, 11430, 11432, 11433, 11434, 11435, 11436"
Jamaica,0 to 4 years,2005,Number,775.0,uhf408,"11412, 11423, 11430, 11432, 11433, 11434, 11435, 11436"
Jamaica,5 to 17 Years,2005,Number,852.0,uhf408,"11412, 11423, 11430, 11432, 11433, 11434, 11435, 11436"
Jamaica,5 to 17 Years,2005,Rate,171.2,uhf408,"11412, 11423, 11430, 11432, 11433, 11434, 11435, 11436"
Jamaica,0 to 17 Years,2005,Number,1627.0,uhf408,"11412, 11423, 11430, 11432, 11433, 11434, 11435, 11436"
Kingsbridge - Riverdale,0 to 4 years,2005,Number,126.0,uhf101,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Kingsbridge - Riverdale,0 to 4 years,2005,Rate,222.1,uhf101,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Kingsbridge - Riverdale,5 to 17 Years,2005,Number,124.0,uhf101,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Kingsbridge - Riverdale,5 to 17 Years,2005,Rate,101.7,uhf101,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Kingsbridge - Riverdale,0 to 17 Years,2005,Number,250.0,uhf101,"11361, 11362, 11363, 11364, 11365, 11366, 11367"
Long Island City - Astoria,0 to 4 years,2005,Number,262.0,uhf401,"11101, 11102, 11103, 11104, 11105, 11106, 11109"
Long Island City - Astoria,0 to 4 years,2005,Rate,224.6,uhf401,"11101, 11102, 11103, 11104, 11105, 11106, 11109"
Long Island City - Astoria,5 to 17 Years,2005,Number,350.0,uhf401,"11101, 11102, 11103, 11104, 11105, 11106, 11109"
Long Island City - Astoria,5 to 17 Years,2005,Rate,139.3,uhf401,"11101, 11102, 11103, 11104, 11105, 11106, 11109"
Long Island City - Astoria,0 to 17 Years,2005,Number,612.0,uhf401,"11101, 11102, 11103, 11104, 11105, 11106, 11109"
Lower Manhattan,0 to 4 years,2005,Rate,98.5,uhf310,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Lower Manhattan,0 to 4 years,2005,Number,26.0,uhf310,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Lower Manhattan,5 to 17 Years,2005,Number,24.0,uhf310,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Lower Manhattan,5 to 17 Years,2005,Rate,78.0,uhf310,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Lower Manhattan,0 to 17 Years,2005,Number,50.0,uhf310,"10002, 10003, 10004, 10005, 10006, 10007, 10009, 10038, 10048, 10280, 10282"
Manhattan,0 to 4 years,2005,Rate,375.6,36061,N/A
Manhattan,0 to 4 years,2005,Number,3089.0,36061,N/A
Manhattan,5 to 17 Years,2005,Number,7626.0,36061,N/A
Manhattan,5 to 17 Years,2005,Rate,453.7,36061,N/A
Manhattan,0 to 17 Years,2005,Number,10715.0,36061,N/A
New York City,0 to 4 years,2005,Number,19927.0,3651000,N/A
New York City,0 to 4 years,2005,Rate,377.2,3651000,N/A
New York City,5 to 17 Years,2005,Number,25834.0,3651000,N/A
New York City,5 to 17 Years,2005,Rate,199.2,3651000,N/A
New York City,0 to 17 Years,2005,Number,45761.0,3651000,N/A
Northeast Bronx,0 to 4 years,2005,Rate,413.7,uhf102,"10466, 10469, 10470, 10475"
Northeast Bronx,0 to 4 years,2005,Number,491.0,uhf102,"10466, 10469, 10470, 10475"
Northeast Bronx,5 to 17 Years,2005,Number,654.0,uhf102,"10466, 10469, 10470, 10475"
Northeast Bronx,5 to 17 Years,2005,Rate,192.6,uhf102,"10466, 10469, 10470, 10475"
Northeast Bronx,0 to 17 Years,2005,Number,1145.0,uhf102,"10466, 10469, 10470, 10475"
Pelham - Throgs Neck,0 to 4 years,2005,Rate,531.9,uhf104,"10461, 10462, 10464, 10465, 10472, 10473"
Pelham - Throgs Neck,0 to 4 years,2005,Number,1083.0,uhf104,"10461, 10462, 10464, 10465, 10472, 10473"
Pelham - Throgs Neck,5 to 17 Years,2005,Number,1119.0,uhf104,"10461, 10462, 10464, 10465, 10472, 10473"
Pelham - Throgs Neck,5 to 17 Years,2005,Rate,211.0,uhf104,"10461, 10462, 10464, 10465, 10472, 10473"
Pelham - Throgs Neck,0 to 17 Years,2005,Number,2202.0,uhf104,"10461, 10462, 10464, 10465, 10472, 10473"
Port  Richmond,0 to 4 years,2005,Number,188.0,uhf501,"10301, 10302, 10303, 10304, 10305, 10310"
Port  Richmond,0 to 4 years,2005,Rate,374.5,uhf501,"10301, 10302, 10303, 10304, 10305, 10310"
Port  Richmond,5 to 17 Years,2005,Number,260.0,uhf501,"10301, 10302, 10303, 10304, 10305, 10310"
Port  Richmond,5 to 17 Years,2005,Rate,181.1,uhf501,"10301, 10302, 10303, 10304, 10305, 10310"
Port  Richmond,0 to 17 Years,2005,Number,448.0,uhf501,"10301, 10302, 10303, 10304, 10305, 10310"
Queens,0 to 4 years,2005,Number,3654.0,36081,N/A
Queens,0 to 4 years,2005,Rate,267.3,36081,N/A
Queens,5 to 17 Years,2005,Number,4362.0,36081,N/A
Queens,5 to 17 Years,2005,Rate,131.0,36081,N/A
Queens,0 to 17 Years,2005,Number,8016.0,36081,N/A
Ridgewood - Forest Hills,0 to 4 years,2005,Number,260.0,uhf405,"11374, 11375, 11379, 11385"
